Group,MediumID,PieceIndex,SourceExcelRow,ObservedP1,ObservedP2,OriginalStart,OriginalEnd,PieceStart,PieceEnd,PieceLength,Translation,BoundarySequence,ReconstructionType
3,A46,2,48,"-5000;-730.487962622236;1855.54491806651","-3941.26413545687;-1135.38813308892;1827.14762813308","-3941.26413545687;-1135.38813308892;1827.14762813308","-8609.92690992662;650.083027888508;1952.36995680638","5000;-730.487962622236;1855.54491806651","1390.07309007338;650.083027888508;1952.36995680638",3866.12514579897,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A47,1,49,"-5000;-561.292731474646;2432.06024610751","-3516.89101459389;-899.92465203099;2440.27368559865","-3516.89101459389;-899.92465203099;2440.27368559865","-8391.37254664874;213.044832449732;2413.27886626428","-3516.89101459389;-899.92465203099;2440.27368559865","-5000;-561.292731474646;2432.06024610751",1521.29921475044,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A47,2,49,"-5000;-561.292731474646;2432.06024610751","-3516.89101459389;-899.92465203099;2440.27368559865","-3516.89101459389;-899.92465203099;2440.27368559865","-8391.37254664874;213.044832449732;2413.27886626428","5000;-561.292731474646;2432.06024610751","1608.62745335126;213.044832449732;2413.27886626428",3478.70078524956,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A49,1,51,"-5000;-476.615832602555;-1280.5382244246","-673.118996697684;-2802.85269639203;-2157.83239774665","-673.118996697684;-2802.85269639203;-2157.83239774665","-5008.42542479918;-472.086118532311;-1278.82993245206","-673.118996697684;-2802.85269639203;-2157.83239774665","-5000;-476.615832602554;-1280.5382244246",4990.28278053823,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A49,2,51,"-5000;-476.615832602555;-1280.5382244246","-673.118996697684;-2802.85269639203;-2157.83239774665","-673.118996697684;-2802.85269639203;-2157.83239774665","-5008.42542479918;-472.086118532311;-1278.82993245206","5000;-476.615832602554;-1280.5382244246","4991.57457520082;-472.086118532311;-1278.82993245206",9.71721946176867,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A50,1,52,"-5000;-424.768298245947;2438.90343590154","-1347.73176400929;-169.264629335002;3420.55206799234","-1347.73176400929;-169.264629335002;3420.55206799234","-6165.37706344597;-506.295200470953;2125.67594923217","-1347.73176400929;-169.264629335002;3420.55206799234","-5000;-424.768298245947;2438.90343590154",3790.51176351418,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A50,2,52,"-5000;-424.768298245947;2438.90343590154","-1347.73176400929;-169.264629335002;3420.55206799234","-1347.73176400929;-169.264629335002;3420.55206799234","-6165.37706344597;-506.295200470953;2125.67594923217","5000;-424.768298245947;2438.90343590154","3834.62293655403;-506.295200470953;2125.67594923217",1209.48823648582,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A51,1,53,"-5000;-283.275356566054;933.891906571597","-4379.75247074549;-1271.17341410157;934.480040778632","-4379.75247074549;-1271.17341410157;934.480040778632","-7038.40663166911;2963.392879765;931.959038464291","-4379.75247074549;-1271.17341410157;934.480040778632","-5000;-283.275356566054;933.891906571597",1166.46899467179,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A51,2,53,"-5000;-283.275356566054;933.891906571597","-4379.75247074549;-1271.17341410157;934.480040778632","-4379.75247074549;-1271.17341410157;934.480040778632","-7038.40663166911;2963.392879765;931.959038464291","5000;-283.275356566054;933.891906571597","2961.59336833089;2963.392879765;931.959038464291",3833.53100532821,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A52,1,54,"-5000;-281.724644649797;3536.49433861641","-463.63770658839;124.771338411342;4513.20773858641","-463.63770658839;124.771338411342;4513.20773858641","-5332.97631947522;-311.562106379373;3464.80199746974","-463.63770658839;124.771338411342;4513.20773858641","-5000;-281.724644649797;3536.49433861641",4658.08876117796,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A52,2,54,"-5000;-281.724644649797;3536.49433861641","-463.63770658839;124.771338411342;4513.20773858641","-463.63770658839;124.771338411342;4513.20773858641","-5332.97631947522;-311.562106379373;3464.80199746974","5000;-281.724644649797;3536.49433861641","4667.02368052478;-311.562106379373;3464.80199746974",341.911238822038,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A53,1,55,"-5000;-164.470951784556;-3645.76776975669","-2688.10956364959;-2232.55516649171;-2354.21718604344","-2688.10956364959;-2232.55516649171;-2354.21718604344","-6128.37508129907;844.908496831237;-4276.14084971973","-2688.10956364959;-2232.55516649171;-2354.21718604344","-5000;-164.470951784555;-3645.76776975669",3360.04652037728,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A53,2,55,"-5000;-164.470951784556;-3645.76776975669","-2688.10956364959;-2232.55516649171;-2354.21718604344","-2688.10956364959;-2232.55516649171;-2354.21718604344","-6128.37508129907;844.908496831237;-4276.14084971973","5000;-164.470951784555;-3645.76776975669","3871.62491870093;844.908496831237;-4276.14084971973",1639.95347962272,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A54,1,56,"-5000;-26.7677428770708;-3530.30197874937","-2660.91141296876;-61.3227277094073;-3300.85596774969","-2660.91141296876;-61.3227277094073;-3300.85596774969","-7636.49077427042;12.1807173140578;-3788.92078205069","-2660.91141296876;-61.3227277094073;-3300.85596774969","-5000;-26.7677428770708;-3530.30197874937",2350.56906661349,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A54,2,56,"-5000;-26.7677428770708;-3530.30197874937","-2660.91141296876;-61.3227277094073;-3300.85596774969","-2660.91141296876;-61.3227277094073;-3300.85596774969","-7636.49077427042;12.1807173140578;-3788.92078205069","5000;-26.7677428770708;-3530.30197874937","2363.50922572958;12.1807173140578;-3788.92078205069",2649.43093338651,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A55,1,57,"-5000;127.505239762082;-1252.26830164535","-2248.85280868866;1511.80528368367;-1705.40359744172","-2248.85280868866;1511.80528368367;-1705.40359744172","-6667.73402243825;-711.651708220178;-977.579563814855","-2248.85280868866;1511.80528368367;-1705.40359744172","-5000;127.505239762082;-1252.26830164535",3112.94540205222,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A55,2,57,"-5000;127.505239762082;-1252.26830164535","-2248.85280868866;1511.80528368367;-1705.40359744172","-2248.85280868866;1511.80528368367;-1705.40359744172","-6667.73402243825;-711.651708220178;-977.579563814855","5000;127.505239762082;-1252.26830164535","3332.26597756175;-711.651708220178;-977.579563814855",1887.05459794778,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A57,1,59,"-5000;219.832056652714;1547.39993402217","-1243.59092220063;1068.96624807133;1309.39443422368","-1243.59092220063;1068.96624807133;1309.39443422368","-6111.25448927516;-31.3664051409532;1617.80884706798","-1243.59092220063;1068.96624807133;1309.39443422368","-5000;219.832056652714;1547.39993402217",3858.5340030566,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A57,2,59,"-5000;219.832056652714;1547.39993402217","-1243.59092220063;1068.96624807133;1309.39443422368","-1243.59092220063;1068.96624807133;1309.39443422368","-6111.25448927516;-31.3664051409532;1617.80884706798","5000;219.832056652714;1547.39993402217","3888.74551072484;-31.3664051409532;1617.80884706798",1141.4659969434,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A58,1,60,"-5000;346.991808315544;-355.331480048224","-3168.03348944253;304.854789176287;-452.564454844165","-3168.03348944253;304.854789176287;-452.564454844165","-8159.6892267564;419.667746797315;-187.62864204453","-3168.03348944253;304.854789176287;-452.564454844165","-5000;346.991808315544;-355.331480048224",1835.02890319845,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A58,2,60,"-5000;346.991808315544;-355.331480048224","-3168.03348944253;304.854789176287;-452.564454844165","-3168.03348944253;304.854789176287;-452.564454844165","-8159.6892267564;419.667746797315;-187.62864204453","5000;346.991808315544;-355.331480048224","1840.3107732436;419.667746797315;-187.62864204453",3164.97109680155,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A59,1,61,"-5000;365.573051258324;-447.706374220298","-1191.75117865526;518.842460481699;-1001.89852117701","-1191.75117865526;518.842460481699;-1001.89852117701","-6135.71479726242;319.864290043192;-282.432451387935","-1191.75117865526;518.842460481699;-1001.89852117701","-5000;365.573051258324;-447.706374220298",3851.41266716847,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A59,2,61,"-5000;365.573051258324;-447.706374220298","-1191.75117865526;518.842460481699;-1001.89852117701","-1191.75117865526;518.842460481699;-1001.89852117701","-6135.71479726242;319.864290043192;-282.432451387935","5000;365.573051258324;-447.706374220298","3864.28520273758;319.864290043192;-282.432451387935",1148.58733283153,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A60,1,62,"-5000;598.350872167653;-242.484499556541","-3939.3627919814;3784.94787024668;-848.530426292623","-3939.3627919814;3784.94787024668;-848.530426292623","-5493.31076386729;-883.760623992503;39.3922598071502","-3939.3627919814;3784.94787024668;-848.530426292623","-5000;598.350872167653;-242.484499556541",3412.71788762464,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A60,2,62,"-5000;598.350872167653;-242.484499556541","-3939.3627919814;3784.94787024668;-848.530426292623","-3939.3627919814;3784.94787024668;-848.530426292623","-5493.31076386729;-883.760623992503;39.3922598071502","5000;598.350872167653;-242.484499556541","4506.68923613271;-883.760623992503;39.3922598071501",1587.28211237537,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A61,1,63,"-5000;749.662862224878;3843.64876445069","-1140.56253982493;30.9393602218937;3260.29982847812","-1140.56253982493;30.9393602218937;3260.29982847812","-6002.66994460483;936.385010562742;3995.20101820592","-1140.56253982493;30.9393602218937;3260.29982847812","-5000;749.662862224878;3843.64876445069",3968.89366983223,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A61,2,63,"-5000;749.662862224878;3843.64876445069","-1140.56253982493;30.9393602218937;3260.29982847812","-1140.56253982493;30.9393602218937;3260.29982847812","-6002.66994460483;936.385010562742;3995.20101820592","5000;749.662862224878;3843.64876445069","3997.33005539517;936.385010562742;3995.20101820592",1031.10633016777,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A62,1,64,"-5000;1000.775202406;1139.47708819548","-2314.34446694224;992.637982139226;1146.10089740263","-2314.34446694224;992.637982139226;1146.10089740263","-7314.30630950978;1007.78727821895;1133.76916204769","-2314.34446694224;992.637982139226;1146.10089740263","-5000;1000.775202406;1139.47708819548",2685.67602875809,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A62,2,64,"-5000;1000.775202406;1139.47708819548","-2314.34446694224;992.637982139226;1146.10089740263","-2314.34446694224;992.637982139226;1146.10089740263","-7314.30630950978;1007.78727821895;1133.76916204769","5000;1000.775202406;1139.47708819548","2685.69369049022;1007.78727821895;1133.76916204769",2314.32397124191,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A63,1,65,"-5000;1003.09122308877;-3286.42572353727","-68.3151146029868;637.107139705193;-3979.21483066616","-68.3151146029868;637.107139705193;-3979.21483066616","-5006.38243805304;1003.56486866728;-3285.52913673929","-68.3151146029868;637.107139705193;-3979.21483066616","-5000;1003.09122308877;-3286.42572353727",4993.53751413764,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A63,2,65,"-5000;1003.09122308877;-3286.42572353727","-68.3151146029868;637.107139705193;-3979.21483066616","-68.3151146029868;637.107139705193;-3979.21483066616","-5006.38243805304;1003.56486866728;-3285.52913673929","5000;1003.09122308877;-3286.42572353727","4993.61756194696;1003.56486866728;-3285.52913673929",6.46248586236128,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A64,1,66,"-5000;1026.01054918311;-4860.53209466251","-1712.1759605972;2828.3771307533;-3353.05775855939","-1712.1759605972;2828.3771307533;-3353.05775855939","-5780.11990132241;598.3532223583;-5218.21873367755","-1712.1759605972;2828.3771307533;-3353.05775855939","-5000;1026.01054918311;-4860.53209466251",4041.13735010894,"-0;-0;-0","X>Z","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A64,2,66,"-5000;1026.01054918311;-4860.53209466251","-1712.1759605972;2828.3771307533;-3353.05775855939","-1712.1759605972;2828.3771307533;-3353.05775855939","-5780.11990132241;598.3532223583;-5218.21873367755","5000;1026.01054918311;-4860.53209466251","4695.81841566928;859.259921486393;-5000",373.876322735774,"10000;-0;-0","X>Z","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A64,3,66,"-5000;1026.01054918311;-4860.53209466251","-1712.1759605972;2828.3771307533;-3353.05775855939","-1712.1759605972;2828.3771307533;-3353.05775855939","-5780.11990132241;598.3532223583;-5218.21873367755","4695.81841566928;859.259921486393;5000","4219.88009867759;598.3532223583;4781.78126632245",584.986327155287,"10000;-0;10000","X>Z","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A65,1,67,"-5000;1046.11706766861;1788.56189644159","-2378.37015958896;3020.94096491727;1117.71913924","-2378.37015958896;3020.94096491727;1117.71913924","-6291.18036038046;73.4954595251478;2118.95903323431","-2378.37015958896;3020.94096491727;1117.71913924","-5000;1046.11706766861;1788.56189644159",3350.06006665072,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A65,2,67,"-5000;1046.11706766861;1788.56189644159","-2378.37015958896;3020.94096491727;1117.71913924","-2378.37015958896;3020.94096491727;1117.71913924","-6291.18036038046;73.4954595251478;2118.95903323431","5000;1046.11706766861;1788.56189644159","3708.81963961954;73.4954595251479;2118.95903323431",1649.93993334928,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A66,1,68,"-5000;1194.16708449381;2524.20597801391","-4278.74995388142;479.023569555252;2797.94365905574","-4278.74995388142;479.023569555252;2797.94365905574","-7706.96101336831;3878.20935848707;1496.82686801208","-4278.74995388142;479.023569555252;2797.94365905574","-5000;1194.16708449381;2524.20597801391",1051.93355018598,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A66,2,68,"-5000;1194.16708449381;2524.20597801391","-4278.74995388142;479.023569555252;2797.94365905574","-4278.74995388142;479.023569555252;2797.94365905574","-7706.96101336831;3878.20935848707;1496.82686801208","5000;1194.16708449381;2524.20597801391","2293.03898663169;3878.20935848707;1496.82686801208",3948.06644981402,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A67,1,69,"-5000;1267.55444478739;-4446.96716704255","-1321.90725800691;3096.10853520288;-1973.78722751036","-1321.90725800691;3096.10853520288;-1973.78722751036","-5157.53510171841;1189.23628512208;-4552.89507062527","-1321.90725800691;3096.10853520288;-1973.78722751036","-5000;1267.55444478739;-4446.96716704255",4794.64235304177,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A67,2,69,"-5000;1267.55444478739;-4446.96716704255","-1321.90725800691;3096.10853520288;-1973.78722751036","-1321.90725800691;3096.10853520288;-1973.78722751036","-5157.53510171841;1189.23628512208;-4552.89507062527","5000;1267.55444478739;-4446.96716704255","4842.46489828159;1189.23628512208;-4552.89507062527",205.357646958231,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A68,1,70,"-5000;1627.86460746779;450.994674718855","-1426.58171239957;-365.593857143029;378.317336970383","-1426.58171239957;-365.593857143029;378.317336970383","-5792.4054780267;2069.91400679435;467.110873810386","-1426.58171239957;-365.593857143029;378.317336970383","-5000;1627.86460746779;450.994674718855",4092.49030587831,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A68,2,70,"-5000;1627.86460746779;450.994674718855","-1426.58171239957;-365.593857143029;378.317336970383","-1426.58171239957;-365.593857143029;378.317336970383","-5792.4054780267;2069.91400679435;467.110873810386","5000;1627.86460746779;450.994674718855","4207.5945219733;2069.91400679435;467.110873810386",907.509694121693,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A69,1,71,"-5000;1846.30617244491;-923.970593359659","-4303.035218537;1847.3209924815;-827.154160731464","-4303.035218537;1847.3209924815;-827.154160731464","-9255.47616518555;1840.10995910312;-1515.10522800037","-4303.035218537;1847.3209924815;-827.154160731464","-5000;1846.30617244491;-923.970593359659",703.657841629242,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A69,2,71,"-5000;1846.30617244491;-923.970593359659","-4303.035218537;1847.3209924815;-827.154160731464","-4303.035218537;1847.3209924815;-827.154160731464","-9255.47616518555;1840.10995910312;-1515.10522800037","5000;1846.30617244491;-923.970593359659","744.52383481445;1840.10995910312;-1515.10522800037",4296.34215837076,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A70,1,72,"-5000;2079.61755137113;2353.86167246439","-2619.29098444703;4561.01415799683;4115.29691397877","-2619.29098444703;4561.01415799683;4115.29691397877","-5700.20103219462;1349.80283907628;1835.79803419742","-2619.29098444703;4561.01415799683;4115.29691397877","-5000;2079.61755137113;2353.86167246439",3863.64577130947,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A70,2,72,"-5000;2079.61755137113;2353.86167246439","-2619.29098444703;4561.01415799683;4115.29691397877","-2619.29098444703;4561.01415799683;4115.29691397877","-5700.20103219462;1349.80283907628;1835.79803419742","5000;2079.61755137113;2353.86167246439","4299.79896780538;1349.80283907628;1835.79803419742",1136.35422869053,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A71,1,73,"-5000;2103.41205632157;-2260.48027008985","-2625.59151327081;3326.08016801863;-1178.90185466049","-2625.59151327081;3326.08016801863;-1178.90185466049","-6745.80600475513;1204.43391370057;-3055.72089647053","-2625.59151327081;3326.08016801863;-1178.90185466049","-5000;2103.41205632157;-2260.48027008985",2881.41368809394,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A71,2,73,"-5000;2103.41205632157;-2260.48027008985","-2625.59151327081;3326.08016801863;-1178.90185466049","-2625.59151327081;3326.08016801863;-1178.90185466049","-6745.80600475513;1204.43391370057;-3055.72089647053","5000;2103.41205632157;-2260.48027008985","3254.19399524487;1204.43391370057;-3055.72089647053",2118.58631190606,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A72,1,74,"-5000;2297.16565005442;-2351.88553803245","-2038.66394048171;1713.47815093003;-954.593023176349","-2038.66394048171;1713.47815093003;-954.593023176349","-6490.39101327038;2590.92582646437;-3055.11953957642","-2038.66394048171;1713.47815093003;-954.593023176349","-5000;2297.16565005442;-2351.88553803245",3326.05302515012,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A72,2,74,"-5000;2297.16565005442;-2351.88553803245","-2038.66394048171;1713.47815093003;-954.593023176349","-2038.66394048171;1713.47815093003;-954.593023176349","-6490.39101327038;2590.92582646437;-3055.11953957642","5000;2297.16565005442;-2351.88553803245","3509.60898672962;2590.92582646437;-3055.11953957642",1673.94697484988,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A74,1,76,"-5000;2352.95881316785;-4333.08370987709","-4360.93868271287;2198.50476408577;-4544.80591895259","-4360.93868271287;2198.50476408577;-4544.80591895259","-8987.05074681052;3316.58486137682;-3012.16634408452","-4360.93868271287;2198.50476408577;-4544.80591895259","-5000;2352.95881316785;-4333.08370987709",690.711020866484,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A74,2,76,"-5000;2352.95881316785;-4333.08370987709","-4360.93868271287;2198.50476408577;-4544.80591895259","-4360.93868271287;2198.50476408577;-4544.80591895259","-8987.05074681052;3316.58486137682;-3012.16634408452","5000;2352.95881316785;-4333.08370987709","1012.94925318948;3316.58486137682;-3012.16634408452",4309.28897913352,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A75,1,77,"-5000;2627.09113694637;1730.26194557632","-2642.21389292369;3910.39189723333;4313.9614353286","-2642.21389292369;3910.39189723333;4313.9614353286","-5806.35548357729;2188.20628558915;846.644790812001","-2642.21389292369;3910.39189723333;4313.9614353286","-5000;2627.09113694637;1730.26194557632",3725.79108665815,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A75,2,77,"-5000;2627.09113694637;1730.26194557632","-2642.21389292369;3910.39189723333;4313.9614353286","-2642.21389292369;3910.39189723333;4313.9614353286","-5806.35548357729;2188.20628558915;846.644790812001","5000;2627.09113694637;1730.26194557632","4193.64451642271;2188.20628558915;846.644790812001",1274.20891334185,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A77,1,79,"-5000;2818.62465634076;378.700572215921","-685.553343817277;2637.72908546581;233.884409242303","-685.553343817277;2637.72908546581;233.884409242303","-5678.35745007737;2847.06674126332;401.469916902103","-685.553343817277;2637.72908546581;233.884409242303","-5000;2818.62465634076;378.700572215921",4320.66486523392,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A77,2,79,"-5000;2818.62465634076;378.700572215921","-685.553343817277;2637.72908546581;233.884409242303","-685.553343817277;2637.72908546581;233.884409242303","-5678.35745007737;2847.06674126332;401.469916902103","5000;2818.62465634076;378.700572215921","4321.64254992263;2847.06674126332;401.469916902103",679.33513476608,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A78,1,80,"-5000;3028.59273721468;3838.84536454666","-4106.5715338784;2850.17217161023;3962.38128470717","-4106.5715338784;2850.17217161023;3962.38128470717","-8965.2921707139;3820.47445882235;3290.55746507902","-4106.5715338784;2850.17217161023;3962.38128470717","-5000;3028.59273721468;3838.84536454666",919.407116503299,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A78,2,80,"-5000;3028.59273721468;3838.84536454666","-4106.5715338784;2850.17217161023;3962.38128470717","-4106.5715338784;2850.17217161023;3962.38128470717","-8965.2921707139;3820.47445882235;3290.55746507902","5000;3028.59273721468;3838.84536454666","1034.7078292861;3820.47445882235;3290.55746507902",4080.5928834967,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A79,1,81,"-5000;3254.23450499493;1899.31110932199","-2603.65870441669;1039.7209558079;944.056882182582","-2603.65870441669;1039.7209558079;944.056882182582","-6127.83749999956;4296.49481642619;2348.90129974546","-2603.65870441669;1039.7209558079;944.056882182582","-5000;3254.23450499493;1899.31110932199",3399.85771804035,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A79,2,81,"-5000;3254.23450499493;1899.31110932199","-2603.65870441669;1039.7209558079;944.056882182582","-2603.65870441669;1039.7209558079;944.056882182582","-6127.83749999956;4296.49481642619;2348.90129974546","5000;3254.23450499493;1899.31110932199","3872.16250000044;4296.49481642619;2348.90129974546",1600.14228195965,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A80,1,82,"-5000;3411.9230946411;3287.08706342088","-4482.53829449633;3883.67840956613;2963.6904047954","-4482.53829449633;3883.67840956613;2963.6904047954","-7837.01188118525;825.498980122529;5060.12679389344","-4482.53829449633;3883.67840956613;2963.6904047954","-5000;3411.9230946411;3287.08706342088",771.300909264929,"-0;-0;-0","X>Z","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A80,2,82,"-5000;3411.9230946411;3287.08706342088","-4482.53829449633;3883.67840956613;2963.6904047954","-4482.53829449633;3883.67840956613;2963.6904047954","-7837.01188118525;825.498980122529;5060.12679389344","5000;3411.9230946411;3287.08706342088","2259.19601857106;913.209022363504;5000",4085.29670989941,"10000;-0;-0","X>Z","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A80,3,82,"-5000;3411.9230946411;3287.08706342088","-4482.53829449633;3883.67840956613;2963.6904047954","-4482.53829449633;3883.67840956613;2963.6904047954","-7837.01188118525;825.498980122529;5060.12679389344","2259.19601857106;913.209022363504;-5000","2162.98811881475;825.498980122529;-4939.87320610656",143.402380835666,"10000;-0;-10000","X>Z","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A82,1,84,"-5000;3565.49103718811;-2132.46832683517","-4546.36479139988;4224.19290758382;-1992.40497257619","-4546.36479139988;4224.19290758382;-1992.40497257619","-7339.79774002756;167.983263353901;-2854.89884709209","-4546.36479139988;4224.19290758382;-1992.40497257619","-5000;3565.49103718811;-2132.46832683517",811.96724056501,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A82,2,84,"-5000;3565.49103718811;-2132.46832683517","-4546.36479139988;4224.19290758382;-1992.40497257619","-4546.36479139988;4224.19290758382;-1992.40497257619","-7339.79774002756;167.983263353901;-2854.89884709209","5000;3565.49103718811;-2132.46832683517","2660.20225997244;167.983263353901;-2854.89884709209",4188.03275943499,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A83,1,85,"-5000;3661.40876230168;200.799658762158","-2587.39716625327;3249.44185661583;-601.851704214715","-2587.39716625327;3249.44185661583;-601.851704214715","-7270.65280103613;4049.13681900675;956.225516721767","-2587.39716625327;3249.44185661583;-601.851704214715","-5000;3661.40876230168;200.799658762158",2575.77529595882,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A83,2,85,"-5000;3661.40876230168;200.799658762158","-2587.39716625327;3249.44185661583;-601.851704214715","-2587.39716625327;3249.44185661583;-601.851704214715","-7270.65280103613;4049.13681900675;956.225516721767","5000;3661.40876230168;200.799658762158","2729.34719896387;4049.13681900675;956.225516721767",2424.22470404118,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A84,1,86,"-5000;3806.1067662756;-3937.37836358058","-1042.20617861071;3853.29927026519;-4962.64609087465","-1042.20617861071;3853.29927026519;-4962.64609087465","-5882.11384255241;3795.58849197618;-3708.8664967722","-1042.20617861071;3853.29927026519;-4962.64609087465","-5000;3806.1067662756;-3937.37836358058",4088.70798391017,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A84,2,86,"-5000;3806.1067662756;-3937.37836358058","-1042.20617861071;3853.29927026519;-4962.64609087465","-1042.20617861071;3853.29927026519;-4962.64609087465","-5882.11384255241;3795.58849197618;-3708.8664967722","5000;3806.1067662756;-3937.37836358058","4117.88615744759;3795.58849197618;-3708.8664967722",911.292016089826,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A86,1,88,"-5000;4321.31901781948;-3598.00449626768","-2504.86390859264;2456.65557167601;-1802.23708289236","-2504.86390859264;2456.65557167601;-1802.23708289236","-5974.69020335337;5049.72385303712;-4299.49605472247","-2504.86390859264;2456.65557167601;-1802.23708289236","-5000;4321.31901781948;-3598.00449626768",3595.47694819031,"-0;-0;-0","X>Y","RETAINED_SINGLE_BOUNDARY_UNIQUE"
